family,name,params,final,cagr,mdd,calmar,sharpe,sortino,chg,turn_yr,schd_share,qld1,qqq1,ex1,qld3,qqq3,ex3,qld5,qqq5,ex5,qld10,qqq10,ex10,qld15,qqq15,ex15,c_닷컴 2000-2002,c_GFC 2007-2009,c_GFC반등 2009-2010,c_코로나 2020,c_2022 베어,c_2023-현재,cost5,cost10,cost20,cost30,cost50
C_only,C reb5>=+6% ONLY,"k=5,x=0.06",35.0211434187662,14.280440694636344,-61.683266368309255,0.2315123944534355,0.5758373923331027,0.6498580219557035,32,1.2012332990750256,33.51254480286738,36.22963537626067,57.09852598913887,-1.5543122344752192e-13,31.14478114478115,57.32323232323232,-3.906788336893152,19.485294117647058,61.029411764705884,-3.3182808071757663,18.181818181818183,66.38755980861244,-5.01018214052128,21.575342465753426,85.1027397260274,-5.942222342778248,-4.9442139046298355,-33.69091108258625,26.25547702335782,-11.41015689817425,-31.35604178192094,75.6074673410313,35.58641579035959,35.0211434187662,33.91657734159334,32.84579395389933,30.801600382369124
C_or,C reb5>=+7% OR,"k=5,x=0.07",143.11516930509,20.48175747558858,-46.62278130284807,0.4393079285112791,0.7184467665367917,0.8552013121975535,30,1.1261562178828366,22.296893667861408,42.97905352986812,67.3390224980605,-6.661338147750939e-14,42.676767676767675,87.2895622895623,-1.8355197929652234,48.713235294117645,92.27941176470588,-0.1693834429498886,67.94258373205741,100.0,1.3271038597624796,70.37671232876713,100.0,0.6017415609123944,-7.011422118382649,-33.935874158330634,86.88509692758082,-11.410156898174383,-32.322865292423955,186.0138405105716,145.2797137660799,143.11516930509,138.87921739212982,134.76458282509103,126.88592331360901
C_only,C reb5>=+7% ONLY,"k=5,x=0.07",29.373112082048618,13.528447587782221,-46.622781302848026,0.2901681797983128,0.6077345345766418,0.5807145550232518,20,0.7507708119218911,61.14097968936678,44.45306439100077,51.04732350659425,-1.1102230246251565e-13,34.34343434343434,51.178451178451176,-5.727938649156172,36.12132352941176,56.98529411764706,-6.746080524744746,14.71291866028708,71.77033492822966,-6.465867291790161,19.006849315068493,73.11643835616438,-5.685373490459044,-7.011422118382649,3.0371531769185944,26.255477023357642,-11.41015689817425,-32.322865292424055,99.1170372620852,29.66853945267135,29.373112082048618,28.79062041638078,28.21911336107677,27.108270641620855
C_or,C reb5>=+8% OR,"k=5,x=0.08",153.30701737248387,20.793289726204822,-46.62278130284805,0.4459899033293971,0.7268901419663547,0.8638016377761503,26,0.9760020554984584,22.565710872162484,42.746314972847166,68.03723816912336,-3.3306690738754696e-14,38.131313131313135,87.62626262626263,-3.2681993893838746,54.6875,92.27941176470588,0.005602726895337362,67.70334928229666,100.0,1.299619859614931,70.37671232876713,100.0,0.33100286294617254,2.1472744414668954,-33.93587415833061,86.88509692758129,-11.410156898174284,-32.3228652924241,188.12828743897433,155.31453484820122,153.30701737248387,149.3665720228527,145.5236089683342,138.12091283716265
C_only,C reb5>=+8% ONLY,"k=5,x=0.08",14.84138513967532,10.65612061752297,-41.99417763786696,0.2537523346549389,0.5852079818533064,0.5115563379472309,10,0.37538540596094555,86.61887694145759,35.06594259115594,39.5655546935609,-8.509174663039154,25.925925925925924,31.14478114478115,-12.656432282718,26.286764705882355,32.07720588235294,-8.907654743514104,12.799043062200957,17.583732057416267,-11.0585662003418,12.5,11.815068493150685,-11.197777217808891,2.1472744414668954,3.037153176918528,3.7510336098284247,1.2759576292381336,-32.32286529242412,100.58907234640162,14.915833870081752,14.84138513967532,14.693490142732612,14.546922871691363,14.257729158196145
C_or,C reb5>=+10% OR,"k=5,x=0.1",137.0031679776419,20.28452256639166,-46.62278130284805,0.43507748786219536,0.7152448896797999,0.8495194822643705,24,0.9009249743062693,22.729988052568697,40.108611326609775,67.10628394103956,-4.440892098500626e-14,37.121212121212125,87.7104377104377,-3.450228184557913,47.61029411764706,92.27941176470588,-0.7570071125440281,54.066985645933016,100.0,1.2696345775728535,58.9041095890411,100.0,0.2861319938515128,2.1472744414668954,-33.93587415833061,86.88509692758129,-18.277131602691853,-34.88924051413128,190.12423363314795,138.658358688029,137.0031679776419,133.7494125203187,130.5697858110663,124.42648427237525
C_only,C reb5>=+10% ONLY,"k=5,x=0.1",6.676246615129727,7.387007894086439,-33.36611085639822,0.22139253585408264,0.5162594794413665,0.4483256044640206,5,0.18769270298047278,98.67084826762246,31.65244375484872,33.59193173002327,-18.806213795980085,22.474747474747474,17.50841750841751,-16.33612831456759,23.713235294117645,11.67279411764706,-15.444325810360882,12.799043062200957,7.4162679425837315,-14.134803700174936,12.5,9.58904109589041,-13.45014869925829,2.1472744414668954,3.037153176918528,3.7510336098284247,-10.305731046931331,-11.364089421513835,43.02587498682673,6.6929706714117785,6.676246615129727,6.642898796668332,6.609684369280327,6.543654086233585
C_or,C reb5>=+12% OR,"k=5,x=0.12",131.47780213078326,20.09878897038748,-46.62278130284805,0.4310937359105967,0.7109318613729595,0.8438065464953456,24,0.9009249743062693,22.789725209080046,41.66020170674942,66.25290923196276,-4.440892098500626e-14,36.7003367003367,87.7104377104377,-3.4556326490438383,43.841911764705884,92.27941176470588,-1.719446829994986,53.4688995215311,100.0,1.1566109924959878,58.9041095890411,100.0,0.2856205273429113,2.1472744414668954,-33.93587415833061,86.88509692758129,-18.277131602691853,-37.51517079032002,190.12423363314852,133.06623866054628,131.47780213078326,128.35527129799453,125.30387958567259,119.40833865726407
C_only,C reb5>=+12% ONLY,"k=5,x=0.12",7.288892925221836,7.7415096233141245,-33.36611085639822,0.23201714028441006,0.5414132123582434,0.4702096443439479,3,0.11261562178828366,98.95459976105137,31.574864235841737,34.057408844065165,-18.806213795980085,24.326599326599325,20.95959595959596,-16.175594125158543,23.713235294117645,11.76470588235294,-14.68631838033848,12.799043062200957,7.4162679425837315,-13.805786088278849,12.5,9.58904109589041,-13.360387976778409,2.1472744414668954,3.037153176918528,3.7510336098284247,-10.305731046931331,-3.230407925311529,43.025874986826636,7.299842687426627,7.288892925221836,7.267026261045834,7.245203373960683,7.201688755603533
C_or,C reb5>=+15% OR,"k=5,x=0.15",138.4777816676773,20.332872428212845,-46.62278130284805,0.43611453156636903,0.7170068927503663,0.8523392794434037,22,0.8258478931140801,22.804659498207887,40.96198603568658,66.40806826997672,-4.440892098500626e-14,36.784511784511785,88.38383838383838,-3.440244321082553,43.93382352941176,92.27941176470588,-0.5867648895874655,53.4688995215311,100.0,1.1566109924959878,58.9041095890411,100.0,0.2856205273429113,2.1472744414668954,-33.93587415833061,86.88509692758129,-18.277131602691853,-37.51517079032002,205.57067147798688,140.01060195728195,138.4777816676773,135.46006046716462,132.50517489551245,126.77894493506618
