k,x,mind,final,cagr,mdd,qld3,qld5,dotcom
10,3.0,30,106.2346006120499,19.141501237205148,-46.62278130284805,40.15151515151515,43.29044117647059,-15.60843907553875
10,3.5000000000000004,0,126.67550787531675,19.931154275038242,-49.031491096100844,37.71043771043771,48.529411764705884,-21.830520925959362
10,3.5000000000000004,1,126.67550787531675,19.931154275038242,-49.031491096100844,37.71043771043771,48.529411764705884,-21.830520925959362
10,3.5000000000000004,2,139.70730298470053,20.37280881510688,-46.622781302848026,42.76094276094276,48.98897058823529,-17.618838080170253
10,3.5000000000000004,3,148.67179747461424,20.654157436910946,-46.622781302848026,44.19191919191919,49.080882352941174,-12.246817539736021
10,3.5000000000000004,4,167.94122732296557,21.207406458314782,-46.62278130284804,39.05723905723906,55.23897058823529,-5.3994080558453454
10,3.5000000000000004,5,156.04110698644553,20.873470612990673,-46.62278130284804,43.09764309764309,55.05514705882353,-5.3994080558453454
10,3.5000000000000004,6,145.59306348248919,20.559418453980904,-46.62278130284806,40.31986531986532,48.89705882352941,-5.3994080558453454
10,3.5000000000000004,7,147.7972334071224,20.627438748475125,-46.62278130284806,40.4040404040404,48.98897058823529,-5.3994080558453454
10,3.5000000000000004,8,151.04664673843124,20.725955135884067,-46.62278130284806,40.909090909090914,55.60661764705882,-5.3994080558453454
10,3.5000000000000004,9,172.42030960063184,21.32722519765069,-46.622781302848026,39.141414141414145,55.60661764705882,-5.3994080558453454
10,3.5000000000000004,10,170.79390420728595,21.28406780653769,-46.62278130284804,40.74074074074074,55.51470588235294,-5.3994080558453454
10,3.5000000000000004,11,168.86680556906163,21.232416426083933,-46.622781302848026,44.612794612794616,55.14705882352941,-5.3994080558453454
10,3.5000000000000004,12,177.65843722384872,21.46360572436661,-46.62278130284804,45.033670033670035,55.14705882352941,-5.3994080558453454
10,3.5000000000000004,13,175.18916976680666,21.399804720822857,-46.62278130284804,44.94949494949495,55.14705882352941,-5.3994080558453454
10,3.5000000000000004,14,167.54015676974475,21.19652794352851,-46.622781302848026,44.86531986531986,55.14705882352941,-5.3994080558453454
10,3.5000000000000004,15,153.10351424196188,20.787266809852255,-46.62278130284805,38.72053872053872,54.779411764705884,-5.3994080558453454
10,3.5000000000000004,16,156.01840541783014,20.872810443229017,-46.62278130284805,38.804713804713806,54.87132352941176,-5.3994080558453454
10,3.5000000000000004,18,140.64323087323237,20.40298281023727,-46.62278130284804,38.131313131313135,54.50367647058824,-5.3994080558453454
10,3.5000000000000004,20,132.1543340155835,20.12192978906493,-46.62278130284802,38.04713804713805,48.25367647058824,-5.3994080558453454
10,3.5000000000000004,22,129.6261029499178,20.03486043668876,-46.62278130284804,38.04713804713805,47.794117647058826,-5.3994080558453454
10,3.5000000000000004,24,126.34696303739143,19.919463211404185,-46.62278130284804,37.37373737373738,43.93382352941176,-5.3994080558453454
10,3.5000000000000004,26,119.47720146242197,19.66805954327895,-46.62278130284804,36.784511784511785,43.29044117647059,-5.3994080558453454
10,3.5000000000000004,28,119.47720146242197,19.66805954327895,-46.62278130284804,36.784511784511785,43.29044117647059,-5.3994080558453454
10,3.5000000000000004,30,103.66585547838476,19.03208034343362,-46.62278130284805,41.245791245791246,43.29044117647059,-15.60843907553875
10,4.0,0,115.47825684152353,19.51522907276626,-49.031491096100844,43.013468013468014,47.97794117647059,-21.830520925959362
10,4.0,1,115.47825684152353,19.51522907276626,-49.031491096100844,43.013468013468014,47.97794117647059,-21.830520925959362
10,4.0,2,127.35813013343665,19.95535194030973,-46.62278130284805,41.4983164983165,48.529411764705884,-17.618838080170253
10,4.0,3,135.5302244437245,20.235724835805335,-46.622781302848026,43.51851851851852,48.713235294117645,-12.246817539736021
10,4.0,4,145.9807605391744,20.57145423920104,-46.62278130284804,38.131313131313135,48.80514705882353,-5.3994080558453454
10,4.0,5,140.94202355534958,20.412575096618223,-46.622781302848026,43.013468013468014,48.62132352941176,-5.3994080558453454
10,4.0,6,132.72362954110747,20.141314410795697,-46.622781302848026,43.26599326599327,48.62132352941176,-5.3994080558453454
10,4.0,7,141.5518332484998,20.432091527906614,-46.622781302848026,43.85521885521885,55.23897058823529,-5.3994080558453454
10,4.0,8,140.58592603213998,20.40114088381515,-46.622781302848026,43.85521885521885,55.33088235294118,-5.3994080558453454
10,4.0,9,160.47935796899554,21.000793223152627,-46.62278130284805,40.74074074074074,55.33088235294118,-5.3994080558453454
10,4.0,10,158.96558912165992,20.957751947382853,-46.62278130284804,44.107744107744104,55.33088235294118,-5.3994080558453454
10,4.0,11,156.8655033591797,20.89738193918127,-46.62278130284804,43.93939393939394,54.87132352941176,-5.3994080558453454
10,4.0,12,164.99302978995877,21.12684976612964,-46.62278130284805,38.88888888888889,54.779411764705884,-5.3994080558453454
10,4.0,13,162.69979832025987,21.06322564987615,-46.62278130284804,38.804713804713806,54.779411764705884,-5.3994080558453454
10,4.0,14,155.59608937736337,20.860512454286084,-46.62278130284804,38.72053872053872,54.779411764705884,-5.3994080558453454
10,4.0,15,153.10351424196188,20.787266809852255,-46.62278130284805,38.72053872053872,54.779411764705884,-5.3994080558453454
10,4.0,16,156.01840541783014,20.872810443229017,-46.62278130284805,38.804713804713806,54.87132352941176,-5.3994080558453454
10,4.0,18,140.64323087323237,20.40298281023727,-46.62278130284804,38.131313131313135,54.50367647058824,-5.3994080558453454
10,4.0,20,132.1543340155835,20.12192978906493,-46.62278130284802,38.04713804713805,48.25367647058824,-5.3994080558453454
10,4.0,22,129.51658133612307,20.031051806643397,-46.62278130284804,37.878787878787875,47.794117647058826,-5.3994080558453454
10,4.0,24,126.2402119820486,19.91565824283965,-46.62278130284804,37.37373737373738,43.93382352941176,-5.3994080558453454
10,4.0,26,119.47720146242197,19.66805954327895,-46.62278130284804,36.784511784511785,43.29044117647059,-5.3994080558453454
10,4.0,28,119.47720146242197,19.66805954327895,-46.62278130284804,36.784511784511785,43.29044117647059,-5.3994080558453454
10,4.0,30,103.66585547838476,19.03208034343362,-46.62278130284805,41.245791245791246,43.29044117647059,-15.60843907553875
