train_start,train_end,test_start,test_end,qld_ret,-16/-16_ret,-16/-16_cagr,-16/-16_beat,-16/-15_ret,-16/-15_cagr,-16/-15_beat,-16/-11_ret,-16/-11_cagr,-16/-11_beat
1995-01-01,1999-12-31,2000-01-01,2000-12-31,-73.64011804592909,-24.871625288248943,-25.124135052153875,True,-24.510126527445188,-24.759599428393287,True,-1.8266617492257997,-1.847966838758175,True
1996-01-01,2000-12-31,2001-01-01,2001-12-31,-61.372948285585395,1.9795785278993394,1.9919700502570858,True,1.9795785278992506,1.991970050256997,True,1.979578527899073,1.9919700502568194,True
1997-01-01,2001-12-31,2002-01-01,2002-12-31,-69.91934907412794,2.011956851580643,2.02455305675604,True,2.011956851580554,2.024553056755951,True,2.0119568515805097,2.0245530567559067,True
1998-01-01,2002-12-31,2003-01-01,2003-12-31,88.10884812651776,61.45792358415989,61.93808049152065,False,58.316724124607774,58.7682037103989,False,61.3700831829421,61.849432928285665,False
1999-01-01,2003-12-31,2004-01-01,2004-12-31,15.388919990605586,15.388919990605743,15.445652876839478,True,15.388919990605698,15.445652876839432,True,15.388919990605764,15.4456528768395,True
2000-01-01,2004-12-31,2005-01-01,2005-12-31,0.18931366085015444,0.18931366085019885,0.1915445559678597,True,0.18931366085004342,0.19154455596770426,False,0.18931366085008783,0.19154455596774866,False
2001-01-01,2005-12-31,2006-01-01,2006-12-31,2.094669106209568,-2.7904334287796706,-2.8305458483897983,False,-3.7928135089304704,-3.8470476236704965,False,-10.455632774054436,-10.59973009701869,False
2002-01-01,2006-12-31,2007-01-01,2007-12-31,28.489970643722895,28.48997064372305,28.779474038098797,True,28.489970643723094,28.77947403809884,True,28.489970643723005,28.77947403809875,True
2003-01-01,2007-12-31,2008-01-01,2008-12-31,-72.00857026254927,-25.243989893161057,-25.31864200521998,True,-27.290418877614652,-27.369950647081488,True,-28.517097469710308,-28.59945953261106,True
2004-01-01,2008-12-31,2009-01-01,2009-12-31,103.277864865951,33.07452068904535,33.310419152072534,False,29.856788185082994,30.06724768673641,False,36.91686198717912,37.183773378713084,False
