시작,종료,일수,log기여,수익차,QQQ,구간
1998-01-13,1998-01-20,5,0.10841826746690097,11.45138127785561,3.1988342294356986,3-5일
1998-09-09,1998-09-14,4,0.028870229085726118,2.9291013771962193,3.6821290726519296,3-5일
1998-10-13,1998-10-13,1,-0.06172289821329774,-5.985663389371531,-2.9354994370275,1-2일
1998-10-15,1998-10-19,3,0.11286932603824912,11.94856357670291,0.8086730375636675,3-5일
2000-07-17,2000-07-19,3,-0.07095119734045019,-6.849264894555351,-4.422170084713162,3-5일
2000-07-21,2000-07-21,1,-0.07078742109257463,-6.834007767329508,-3.3601299209498614,1-2일
2000-08-30,2000-08-30,1,-0.003799707600038671,-0.37924978456593816,-0.12926392237970763,1-2일
2000-09-01,2000-09-06,3,-0.11799603342007337,-11.130042229446824,-6.45932436951997,3-5일
2003-04-30,2003-04-30,1,-0.020818941163071425,-2.060372313222225,-0.9707333673642959,1-2일
2003-05-02,2003-05-23,16,0.021363134365298297,2.159295979975284,-0.6374103120307173,6-20일
2006-07-20,2006-07-20,1,-0.02892493150564418,-2.851061002484534,-1.4664432086539336,1-2일
2006-07-25,2006-08-16,17,0.11105983399799202,11.74617670593081,5.378228079530745,6-20일
2008-04-21,2008-05-06,12,0.09813650188537698,10.31133518842664,4.014763557014667,6-20일
2008-08-07,2008-09-02,18,-0.05336518573405313,-5.196625913814524,-1.5546059069033724,6-20일
2009-08-21,2009-09-02,9,-0.029465117905079052,-2.9035253665068095,-2.5961875803999335,6-20일
2011-08-23,2011-08-26,4,0.1077930801545885,11.381725064700143,1.6171677909028626,3-5일
